timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T12:45:21.850531,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850658,!328ab3af,b3af,Meshtastic b3af,42.4338,-71.0657,,,-16,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850727,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850777,!d932f999,f999,Meshtastic f999,,,,,-11,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850817,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-15,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850857,!6a02e363,e363,Meshtastic e363,42.3363,-71.0672,18,,-12,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850897,!25d1fd78,fd78,Meshtastic fd78,42.3887,-71.0672,-5,,-17,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850936,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,49,,-10,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.850975,!a2eb46d0,46d0,Meshtastic 46d0,42.3887,-71.1197,12,,6,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851013,!75890ad4,0ad4,Meshtastic 0ad4,42.2945,-71.0533,10,,-12,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851052,!0ffe2977,2977,Meshtastic 2977,42.3363,-71.0672,594,,6,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851092,!433e9d30,9d30,Meshtastic 9d30,42.3887,-71.0672,13,,-15,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851135,!a2ebd5d8,d5d8,Meshtastic d5d8,42.3886,-71.1119,35,,-20,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851175,!a0cb2840,2840,Meshtastic 2840,,,,,-18,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851212,!a2eb5300,5300,Meshtastic 5300,,,,,-18,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851249,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2027,88.0
2025-10-24T12:45:21.851286,!1fa00974,0974,Meshtastic 0974,42.2838,-70.9624,59,,-14,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958392,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958509,!328ab3af,b3af,Meshtastic b3af,42.4338,-71.0657,,,-16,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958559,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958601,!d932f999,f999,Meshtastic f999,,,,,-11,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958641,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-15,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958679,!6a02e363,e363,Meshtastic e363,42.3363,-71.0672,18,,-12,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958730,!25d1fd78,fd78,Meshtastic fd78,42.3887,-71.0672,-5,,-17,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958784,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,49,,-10,T_DECK,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958826,!a2eb46d0,46d0,Meshtastic 46d0,42.3887,-71.1197,12,,6,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958866,!75890ad4,0ad4,Meshtastic 0ad4,42.2945,-71.0533,10,,-12,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958905,!0ffe2977,2977,Meshtastic 2977,42.3363,-71.0672,594,,6,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958944,!433e9d30,9d30,Meshtastic 9d30,42.3887,-71.0672,13,,-15,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.958982,!a2ebd5d8,d5d8,Meshtastic d5d8,42.3886,-71.1119,35,,-20,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.959021,!a0cb2840,2840,Meshtastic 2840,,,,,-18,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.959058,!a2eb5300,5300,Meshtastic 5300,,,,,-18,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:35.959094,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2027,88.0
2025-10-24T12:45:35.959132,!1fa00974,0974,Meshtastic 0974,42.2838,-70.9624,59,,-14,UNSET,42.3895,-71.2027,88.0
2025-10-24T12:45:49.434080,!5d3f658b,658b,Meshtastic 658b,40.7110,-74.0033,290,,-12,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434186,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434235,!328ab3af,b3af,Meshtastic b3af,42.4338,-71.0657,,,-16,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434289,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434330,!d932f999,f999,Meshtastic f999,,,,,-11,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434366,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-15,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434401,!6a02e363,e363,Meshtastic e363,42.3363,-71.0672,18,,-12,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434438,!25d1fd78,fd78,Meshtastic fd78,42.3887,-71.0672,-5,,-17,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434474,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,49,,-10,T_DECK,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434511,!a2eb46d0,46d0,Meshtastic 46d0,42.3887,-71.1197,12,,6,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434547,!75890ad4,0ad4,Meshtastic 0ad4,42.2945,-71.0533,10,,-12,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434582,!0ffe2977,2977,Meshtastic 2977,42.3363,-71.0672,594,,6,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434619,!433e9d30,9d30,Meshtastic 9d30,42.3887,-71.0672,13,,-15,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434655,!a2ebd5d8,d5d8,Meshtastic d5d8,42.3886,-71.1119,35,,-20,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434691,!a0cb2840,2840,Meshtastic 2840,,,,,-18,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434743,!a2eb5300,5300,Meshtastic 5300,,,,,-18,UNSET,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434779,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2027,95.0
2025-10-24T12:45:49.434815,!1fa00974,0974,Meshtastic 0974,42.2838,-70.9624,59,,-14,UNSET,42.3895,-71.2027,95.0
